,season,player_id,player,pos,age,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
479,2023,4661,Mitchell Robinson,C,24.0,NYK,59,58.0,27.0,3.2,4.7,0.671,1000.0,0.671,0.671,0.484,4.5,4.9,9.4,0.9,0.9,1.8,0.7,2.7,7.4
480,2023,4662,Mo Bamba,C,24.0,TOT,49,7.0,15.7,2.4,4.9,0.485,0.387,0.59,0.585,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6
483,2023,4551,Monte Morris,PG,27.0,WAS,62,61.0,27.3,4.0,8.3,0.48,0.382,0.543,0.555,0.831,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,10.3
484,2023,4349,Montrezl Harrell,C,29.0,PHI,57,7.0,11.9,2.2,3.7,0.598,0.0,0.616,0.598,0.693,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6
485,2023,4663,Moritz Wagner,C,25.0,ORL,57,18.0,19.5,3.5,6.9,0.5,0.313,0.631,0.564,0.841,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5
486,2023,4768,Moses Brown,C,23.0,TOT,36,1.0,8.2,1.7,2.7,0.635,1000.0,0.635,0.635,0.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3
489,2023,4992,Moses Moody,SG,20.0,GSW,63,3.0,13.0,1.7,3.6,0.476,0.363,0.641,0.584,0.698,0.4,1.2,1.7,0.8,0.3,0.1,0.5,0.9,4.8
490,2023,5084,Moussa Diabaté,PF,21.0,LAC,22,1.0,8.9,1.1,2.1,0.511,0.5,0.511,0.521,0.625,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7
491,2023,4350,Myles Turner,C,26.0,IND,62,62.0,29.4,6.5,11.8,0.548,0.373,0.638,0.612,0.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,18.0
492,2023,4865,Naji Marshall,SF,25.0,NOP,77,21.0,23.3,3.2,7.4,0.433,0.303,0.513,0.49,0.789,0.6,3.0,3.6,2.5,0.7,0.2,1.3,1.5,9.1
493,2023,4770,Nassir Little,SF,22.0,POR,54,4.0,18.1,2.5,5.6,0.442,0.367,0.524,0.538,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6
494,2023,4868,Nathan Knight,PF,25.0,MIN,38,0.0,7.7,1.2,2.1,0.568,0.364,0.644,0.617,0.684,0.6,0.9,1.5,0.3,0.3,0.2,0.6,1.1,3.7
495,2023,4771,Naz Reid,C,23.0,MIN,68,11.0,18.4,4.6,8.5,0.537,0.346,0.653,0.602,0.677,1.1,3.8,4.9,1.1,0.6,0.8,1.4,2.6,11.5
496,2023,4995,Neemias Queta,C,23.0,SAC,5,0.0,5.8,1.2,1.8,0.667,1000.0,0.667,0.667,0.0,1.0,1.2,2.2,0.2,0.0,0.4,0.2,1.4,2.4
497,2023,4278,Nerlens Noel,C,28.0,TOT,17,4.0,11.5,0.8,2.1,0.361,0.5,0.353,0.375,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1
500,2023,4772,Nic Claxton,C,23.0,BRK,76,76.0,29.9,5.4,7.7,0.705,0.0,0.708,0.705,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6
501,2023,4869,Nick Richards,C,25.0,CHO,65,9.0,18.7,3.0,4.8,0.629,1.0,0.628,0.631,0.749,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2
502,2023,4773,Nickeil Alexander-Walker,SG,24.0,TOT,59,3.0,15.0,2.2,5.0,0.444,0.384,0.515,0.547,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2
505,2023,3841,Nicolas Batum,PF,34.0,LAC,78,19.0,21.9,2.1,4.9,0.42,0.391,0.563,0.583,0.708,0.8,3.0,3.8,1.6,0.7,0.6,0.6,1.9,6.1
506,2023,4352,Nikola Jokić,C,27.0,DEN,69,69.0,33.7,9.4,14.8,0.632,0.383,0.675,0.66,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5
507,2023,5085,Nikola Jović,PF,19.0,MIA,15,8.0,13.6,1.9,4.6,0.406,0.229,0.588,0.464,0.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5
